Rate,Methode,,TP,TN,FN,FP,Total,Accuracy,F1,TPR,PPV,TNR
12800,totalicmpDUnreachable,ruby,0,0,15,0,15,0,0,0,#DIV/0!,#DIV/0!
12800,totalicmpDUnreachable,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
12800,totalicmpDUnreachable,blacknurse,10,0,0,0,10,1,1,1,1,#DIV/0!
12800,totalicmpDUnreachable,xmas,5,0,8,0,13,0.384615385,0.555555556,0.384615385,1,#DIV/0!
12800,totalicmpDUnreachable,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
12800,totalicmpDUnreachable,synflood,0,0,11,0,11,0,0,0,#DIV/0!,#DIV/0!
12800,totalBytes,total,13,2405,122,302,2842,0.850809289,0.057777778,0.096296296,0.041269841,0.888437385
12800,totalBytes,slowread,6,0,30,0,36,0.166666667,0.285714286,0.166666667,1,#DIV/0!
12800,totalBytes,slowloris,0,0,32,0,32,0,0,0,#DIV/0!,#DIV/0!
12800,totalBytes,ruby,5,0,10,0,15,0.333333333,0.5,0.333333333,1,#DIV/0!
12800,totalBytes,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
12800,totalBytes,blacknurse,0,0,10,0,10,0,0,0,#DIV/0!,#DIV/0!
12800,totalBytes,xmas,2,0,11,0,13,0.153846154,0.266666667,0.153846154,1,#DIV/0!
12800,totalBytes,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
12800,totalBytes,synflood,0,0,11,0,11,0,0,0,#DIV/0!,#DIV/0!
12800,totalpackets,total,18,2256,117,451,2842,0.800140746,0.059602649,0.133333333,0.038379531,0.833394902
12800,totalpackets,slowread,5,0,31,0,36,0.138888889,0.243902439,0.138888889,1,#DIV/0!
12800,totalpackets,slowloris,0,0,32,0,32,0,0,0,#DIV/0!,#DIV/0!
12800,totalpackets,ruby,6,0,9,0,15,0.4,0.571428571,0.4,1,#DIV/0!
12800,totalpackets,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
12800,totalpackets,blacknurse,0,0,10,0,10,0,0,0,#DIV/0!,#DIV/0!
12800,totalpackets,xmas,3,0,10,0,13,0.230769231,0.375,0.230769231,1,#DIV/0!
12800,totalpackets,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
12800,totalpackets,synflood,4,0,7,0,11,0.363636364,0.533333333,0.363636364,1,#DIV/0!
12800,totalicmp,total,24,2687,111,20,2842,0.9539057,0.268156425,0.177777778,0.545454545,0.992611747
12800,totalicmp,slowread,0,0,36,0,36,0,0,0,#DIV/0!,#DIV/0!
12800,totalicmp,slowloris,0,0,32,0,32,0,0,0,#DIV/0!,#DIV/0!
12800,totalicmp,ruby,0,0,15,0,15,0,0,0,#DIV/0!,#DIV/0!
12800,totalicmp,pingflood,10,0,2,0,12,0.833333333,0.909090909,0.833333333,1,#DIV/0!
12800,totalicmp,blacknurse,9,0,1,0,10,0.9,0.947368421,0.9,1,#DIV/0!
12800,totalicmp,xmas,5,0,8,0,13,0.384615385,0.555555556,0.384615385,1,#DIV/0!
12800,totalicmp,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
12800,totalicmp,synflood,0,0,11,0,11,0,0,0,#DIV/0!,#DIV/0!
12800,totalicmprate,total,15,2684,120,23,2842,0.949683322,0.173410405,0.111111111,0.394736842,0.991503509
12800,totalicmprate,slowread,0,0,36,0,36,0,0,0,#DIV/0!,#DIV/0!
12800,totalicmprate,slowloris,0,0,32,0,32,0,0,0,#DIV/0!,#DIV/0!
12800,totalicmprate,ruby,0,0,15,0,15,0,0,0,#DIV/0!,#DIV/0!
12800,totalicmprate,pingflood,4,0,8,0,12,0.333333333,0.5,0.333333333,1,#DIV/0!
12800,totalicmprate,blacknurse,6,0,4,0,10,0.6,0.75,0.6,1,#DIV/0!
12800,totalicmprate,xmas,5,0,8,0,13,0.384615385,0.555555556,0.384615385,1,#DIV/0!
12800,totalicmprate,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
12800,totalicmprate,synflood,0,0,11,0,11,0,0,0,#DIV/0!,#DIV/0!
12800,totalflows,total,61,1320,74,1387,2842,0.485925405,0.077068857,0.451851852,0.042127072,0.487624677
12800,totalflows,slowread,6,0,30,0,36,0.166666667,0.285714286,0.166666667,1,#DIV/0!
12800,totalflows,slowloris,0,0,32,0,32,0,0,0,#DIV/0!,#DIV/0!
12800,totalflows,ruby,15,0,0,0,15,1,1,1,1,#DIV/0!
12800,totalflows,pingflood,11,0,1,0,12,0.916666667,0.956521739,0.916666667,1,#DIV/0!
12800,totalflows,blacknurse,10,0,0,0,10,1,1,1,1,#DIV/0!
12800,totalflows,xmas,8,0,5,0,13,0.615384615,0.761904762,0.615384615,1,#DIV/0!
12800,totalflows,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
12800,totalflows,synflood,11,0,0,0,11,1,1,1,1,#DIV/0!
