Rate,Methode,,TP,TN,FN,FP,Total,Accuracy,F1,TPR,PPV,TNR
6400,RandomForestcombined,slowloris,54,0,61,0,115,0.469565217,0.639053254,,,
6400,RandomForestcombined,ruby,0,0,15,0,15,0,0,,,
6400,RandomForestcombined,pingflood,267,0,2238,0,2505,0.106586826,0.192640693,,,
6400,RandomForestcombined,blacknurse,568,0,49,0,617,0.920583468,0.958649789,,,
6400,RandomForestcombined,xmas,235,0,260,0,495,0.474747475,0.643835616,,,
6400,RandomForestcombined,udpflood,78,0,905,0,983,0.079348932,0.147031103,,,
6400,RandomForestcombined,synflood,192,0,229,0,421,0.456057007,0.626427406,,,
6400,RandomForestfields,total,3567,3007434,1621,2,3012624,0.999461267,0.814662556,0.687548188,0.999439619,
6400,RandomForestfields,slowread,37,0,0,0,37,1,1,,,
6400,RandomForestfields,slowloris,115,0,0,0,115,1,1,,,
6400,RandomForestfields,ruby,15,0,0,0,15,1,1,,,
6400,RandomForestfields,pingflood,1041,0,1464,0,2505,0.415568862,0.58714044,,,
6400,RandomForestfields,blacknurse,617,0,0,0,617,1,1,,,
6400,RandomForestfields,xmas,495,0,0,0,495,1,1,,,
6400,RandomForestfields,udpflood,983,0,0,0,983,1,1,,,
6400,RandomForestfields,synflood,264,0,157,0,421,0.627078385,0.77080292,,,
6400,entropySip,total,19,4904,221,598,5742,0.857366771,0.044340723,0.079166667,0.030794165,0.956878049
6400,entropySip,slowread,1,0,86,0,87,0.011494253,0.022727273,,,
6400,entropySip,slowloris,2,0,58,0,60,0.033333333,0.064516129,,,
6400,entropySip,ruby,0,0,23,0,23,0,0,,,
6400,entropySip,pingflood,2,0,17,0,19,0.105263158,0.19047619,,,
6400,entropySip,blacknurse,4,0,11,0,15,0.266666667,0.421052632,,,
6400,entropySip,xmas,8,0,7,0,15,0.533333333,0.695652174,,,
6400,entropySip,udpflood,0,0,8,0,8,0,0,,,
6400,entropySip,synflood,2,0,11,0,13,0.153846154,0.266666667,,,
6400,entropyRateSip,total,6,5393,234,109,5742,0.940264716,0.033802817,0.025,0.052173913,0.958414786
6400,entropyRateSip,slowread,0,0,87,0,87,0,0,,,
6400,entropyRateSip,slowloris,0,0,60,0,60,0,0,,,
6400,entropyRateSip,ruby,0,0,23,0,23,0,0,,,
6400,entropyRateSip,pingflood,1,0,18,0,19,0.052631579,0.1,,,
6400,entropyRateSip,blacknurse,0,0,15,0,15,0,0,,,
6400,entropyRateSip,xmas,0,0,15,0,15,0,0,,,
6400,entropyRateSip,udpflood,1,0,7,0,8,0.125,0.222222222,,,
6400,entropyRateSip,synflood,4,0,9,0,13,0.307692308,0.470588235,,,
6400,entropyDip,total,33,5028,207,474,5742,0.881400209,0.088353414,0.1375,0.065088757,0.960458453
6400,entropyDip,slowread,1,0,86,0,87,0.011494253,0.022727273,,,
6400,entropyDip,slowloris,0,0,60,0,60,0,0,,,
6400,entropyDip,ruby,0,0,23,0,23,0,0,,,
6400,entropyDip,pingflood,7,0,12,0,19,0.368421053,0.538461538,,,
